"Standard Name",Description,Category,Status,"Deployment Type","Approval Expiration Date"
"Forescout SecureConnector Linux Agent 4.x","Forescout is used as hardware asset management and the SecureConnector Agent sends host data to Forescout.  The agent will be pushed to all Linux hosts via BigFix.","Security and Assurance",Approved,Other,2022-12-02
"Foreseer 7.2.x","Foreseer is an easy-to-use application consisting of a Server that provides a browser-based interface called WebViews. The Foreseer Server functions as a centralized storage location for information and WebViews acts as a retrieval and display terminal for that information. WebViews allows a User to observe real-time data, respond to events and alarms, as well as graph archived data and project potential failure for every data input.","Building Automation",Approved,Server,2022-08-01
"ForgeRock Platform","Provides directory services, and is 100% open source, lightweight, embeddable directory that can share real-time customer, device, and user identity data across enterprise, cloud, social, and mobile environments.","Data Management",Sunsetting,Server,2018-11-01
"Form Plus","Custom form creation on Google Drive. It provides an interface to create forms by just dragging and dropping components. It supports the creation of forms with a wide variety of input types.  Files are collected upon submission of the form and are saved in your Google Drive, a link to the file is also placed in a submission spreadsheet.  
Use Google Forms","Electronic Publishing",Denied,SaaS,-
"Form.io Enterprise","This technology is needed by the Technology Transformation Services (TTS) to provide it's partner agencies with a web-based tool, known as FormService, which will allow agencies to convert paper-based PDF forms into digital forms and enable API's to serve said forms. This technology will enable TTS partner agencies to provide improved digital services and automate manual processes, as well as, become compliant with 21st Century Integrated Digital Experience (IDEA) Act and Creating Advanced Streamlined Electronic Services for Constituents (CASES) Act. The product fully supports Section 508 and U.S. Web Design System (USWDS) requirements.","Survey and Form Designer",Approved,Server,2022-12-29
"Formtek Auditing Extension","There is a need to view detailed information within the Alfresco content management system about document and folder changes.  A plug-in extension to the Alfresco platform is available commercially that provides this kind of audit information.  The plug-in is installed within the Alfresco framework and requires no client-side components.",Plugins/Libraries,Approved,Server,2023-09-28
"Forticlient VPN 6.x","The eRulemaking system is currently hosted within the EPA data center- NCC and EPA Potomac Yard (DR).  All privileged remote system administrators access the environments through VPN. The client used is Forticlient 6.4, which is technology that was brought over when GSA inherited eRulemaking as a system of record from EPA. In order to maintain continuity of service we must continue to use this client as there is one VPN tunnel configured with multiple Fortinet and Fortigate web and network firewalls. Re-deploying a new VPN solution is not feasible as this is a high availability system. The contract that supports the Fortinet services was recently renewed as part of O&M requirements. As a result , the VPN client service is funded by GSA. As eRulemaking continues infrastructure modernization and migration activities in accordance with GSA security policies ,support personnel require the ability to install Forticlent VPN on GSA GFE.",Infrastructure,Approved,Desktop,2022-11-04
"Foxit PDF Editor 11.x","Foxit PDF Editor software allows users to convert paper documents into searchable, electronic PDF files, to turn paper forms into fillable PDF forms, and to edit existing PDF documents.  It combines and organizes multiple file types into a single PDF document that can be shared with anyone, anywhere.  It is one of the PDF editors used in GSA along with Adobe Acrobat Pro DC.  Foxit PDF Editor is licensed and tracked through ServiceNow and is only installed for approved users.","PDF Software",Approved,Desktop,2023-08-18
"FreeBSD 9.x","Unlike Linux, FreeBSD is a complete operating system, and not simply a Kernel.It's a stable platform that rarely crashes.What this means to SecOps is stability, minimal patching, reliability, security, and excellent performance characteristics all of which are provided by FreeBSD.FreeBSD is used by major corporations.For example, iOS runs on iPhones, iPads, but OS X runs on MACs.Both OS are derived from FreeBSD.","Network Operating System",Sunsetting,Server,2018-09-01
"Freedom Scientific - Fusion Professional 2022","Fusion Professional is a combination of two products, ZoomText and JAWs, Enlarges text on monitors for people and has extensive test to speech capabilities and text.  This is assistive technology software used by GSA employees who have disabilities, primarily low-vision. This is an annual release update and is likely very similar to the previously approved 2021 version.","Assistive Technology",Approved,Desktop,2023-11-30
"Freedom Scientific Fusion Pro 2021","This request is to add ZoomText Fusion Pro 2021 to the list of approved software. This software is the same as ZoomText 2021 but also includes JAWS 2021, which has already been approved.  Since it is assistive technology it does not need to meet the Section 508 Standards.","Section 508 Accessibility Software",Approved,Desktop,2023-04-21
"Freedom Scientific JAWS 11","JAWS, Job Access With Speech, is a screen reader developed for computer users whose vision loss prevents them from seeing screen content or navigating with a mouse. JAWS provides speech and Braille output for the most popular computer applications on the users PC.","Screen Reader",Sunsetting,Desktop,2018-07-01
